2026-04-26 22:43:03,854 | INFO | Testing ['l2-k_mnist-b64-lr0.01-e40-i512-o512.pth'] on mnist dataset
2026-04-26 22:43:06,277 | DEBUG | Correct:985
2026-04-26 22:43:06,277 | DEBUG | Total:1000
2026-04-26 22:43:06,277 | INFO | Test accuracy: 98.50%
2026-04-26 22:43:08,398 | DEBUG | Correct:1954
2026-04-26 22:43:08,398 | DEBUG | Total:2000
2026-04-26 22:43:08,398 | INFO | Test accuracy: 97.70%
2026-04-26 22:43:10,515 | DEBUG | Correct:2928
2026-04-26 22:43:10,515 | DEBUG | Total:3000
2026-04-26 22:43:10,515 | INFO | Test accuracy: 97.60%
2026-04-26 22:43:12,639 | DEBUG | Correct:3901
2026-04-26 22:43:12,640 | DEBUG | Total:4000
2026-04-26 22:43:12,640 | INFO | Test accuracy: 97.53%
2026-04-26 22:43:14,779 | DEBUG | Correct:4875
2026-04-26 22:43:14,779 | DEBUG | Total:5000
2026-04-26 22:43:14,779 | INFO | Test accuracy: 97.50%
2026-04-26 22:43:16,963 | DEBUG | Correct:5864
2026-04-26 22:43:16,963 | DEBUG | Total:6000
2026-04-26 22:43:16,963 | INFO | Test accuracy: 97.73%
2026-04-26 22:43:19,147 | DEBUG | Correct:6847
2026-04-26 22:43:19,147 | DEBUG | Total:7000
2026-04-26 22:43:19,147 | INFO | Test accuracy: 97.81%
2026-04-26 22:43:21,338 | DEBUG | Correct:7844
2026-04-26 22:43:21,338 | DEBUG | Total:8000
2026-04-26 22:43:21,338 | INFO | Test accuracy: 98.05%
2026-04-26 22:43:23,524 | DEBUG | Correct:8835
2026-04-26 22:43:23,524 | DEBUG | Total:9000
2026-04-26 22:43:23,524 | INFO | Test accuracy: 98.17%
2026-04-26 22:43:25,713 | DEBUG | Correct:9821
2026-04-26 22:43:25,713 | DEBUG | Total:10000
2026-04-26 22:43:25,713 | INFO | Test accuracy: 98.21%
